pregunta;respuesta
Es un secreto que debo guardar.;It's a secret I must keep
¿Que pasara si alguien se entera?;What'll happen if someone finds out?
Prefiero no pensar en ello;I prefer not to think about it
¿Que pasara si te cogen?;What'll happen if they catch you?
me No me van a coger;They're not going to catch
¿Que harás si te ven?;What'll you do if they see you?
Deja de hacerme tantas preguntas;Stop asking me so many questions
¿Quien quiere ser el primero?;Who wants to be the first?
¿El primero para hacer que?;The first to do what?
Tu no eres socio de este club;You're not a member of this club
¿Que haces aquí?;What are you doing here?
Quiero hacerme socio;I want to become a member
¿Conoces todas las reglas?;Do you know all the rules?
Las aprendere, no te preocupes;I'll learn them, don't worry
¿Estas de acuerdo con nuestras leyes?;Do you agree with our laws?
Prometo que las acatare;I promise that I'll obey them
Entonces puedes ser socio si eso es lo quequieres.;Then you can be a member if that's what you want
Tu sabes lo que quiero.;You know what I want
No se nada acerca de ti;I don't know anything about you
Aprenderas muchas cosas muy pronto;You'll learn a lot of things very soon
No hay nada que tu me puedas enseñar;There's nothing you can teach me
Tal vez no, pero ya veremos;Maybe not, but we'll see
¿Cuanto tiempo dura la clase?;How long does the class last?
Dura hasta la hora de comer;It lasts until lunch time
¿Por que dura tanto tiempo?;Why does it last so long?
Porque las clases de danza siempre duranmucho;Because dance classes always last long /a long time
¿Te gusta la clase?;Do you like the class?
Me gusta mas que ninguna otra cosa;I like it more than anything else
¿Por que te gusta tanto?;Why do you like it so much?
Porque soy uno de los mejores;Because I'm one of the best
¿Puedo estar en tu clase también?;Can I be in your class too?
Por supuesto que si;Of course you can
¿Que tengo que hacer?;What do I have to do?
¿Con quien tengo que hablar?;Who do I have to talk to?
¿A donde tengo que ir?;Where do I have to go?
¿Cuanto tengo que pagar?;How much do I have to pay?
¿Con que frecuencia tengo que venir?;How often do I have to come?
¿Quien será el profesor?;Who'll be the teacher?
¿Me tratara ella como a los demás?;Will she treat me like the rest?
¿Que hará ella si no bailo bien?;What she do if I don't dance well?
Espero que sea una persona paciente;I hope she's a patient person
¿Crees que me gustará la clase?;Do you think I'll like the class
Estoy seguro de que te gustará;I'm sure you'll like it
¿Como puedes estar tan seguro?;How can you be so sure?
Porque lo se todo.;Because I know everything
Espero que tengas razón;I hope you're right
Casi siempre tengo razón;I'm almost always right
No lo haré.;I won't do it
No te llevaran si no se lo pides;They won't take you if you don't ask them
No llegare alli hasta la media noche;I won't get there until midnight
No le va a gustar (a él);He's not going to like it
¿Por qué no le va a gustar?;Why isn't he going to like it?
Nunca le gusta nada;He never likes anything
¿Crees que lo aprobara?;Do you think he'll aprove it?
Hara lo que quiera hacer;He'll do what he wants to do
¿Tomará una decisión pronto?;Will he make a decision soon?
El siempre hace lo que quiere;He always does what he wants
No lo cancelaran si tu vas;They won't cancel it if you go
No iré si le incluyen a él;I won't go if they include him
¿Que tienes en contra de él?;What do you have against him?
Nada en absoluto;Nothing at all
Entonces ¿por que no le vas a invitar?;Then, why aren't you going to invite him?
Porque no quiero;Because I don't want to
¿Cuando estará listo el informe?;When will the report be ready?
Ya está preparado;It's already prepared
¿Cuando lo vas a mandar?;When are you going to send it?
Lo mandaré cuando Udme diga;I'll send it when you tell me
Lo puedes mandar cuando quieras;You can send it whenever you want
Lo creeré cuando lo vea;I'll believe it when I see it
¿Con que frecuencia ves cosas así?;How often do you see things like that?
¿De que clase de cosas estás hablando?;What kind of things are you talking about?
Esta será nuestra última oportunidad;This will be our last chance
¿Que harás si no pasa nada?;What will you do if nothing happens?
Algo tiene que pasar;Something has to happen
Siempre pasa algo cuando voy allí;Something always happens when I go there
¿Quién me esperara cuando yo llegue?;Who will meet me when I arrive?
Se casarán en otoño;They'll get married this fall/autum
¿Por que no vendrán mas pronto?;Why won't they come sooner?
Iré si vienes conmigo;I'll go if you come with me
Lo harán si les ayudas;They'll do it if you help them
No me quedaré aqui por mas tiempo;I won't stay here any longer
Comeré el mio si comes el tuyo;I'll eat mine if you eat yours
No te preocupes, lo escribiré bien;Don't worry, I'll write it well
¿Por que no te enseñaré él su diente?;Why won't he show you his tooth?
No dejarán de mirarte;They won't stop looking at you
¿Por que me miraran tanto?;Why will they look at me so much?
Porque eso es lo que hacen;Because that's what they do
No te preocupes, tendré cuidado;Don't worry, I'll be carefull
Yo lo lavare y tu lo secaras;I'll wash it and you'll dry it
¿Quien será el primero en intentarlo?;Who'll be the first to try?
Pruébalo, te gustará;Try it, you'll like it
Se que no me gustará en absoluto;I know I won't like it at all
¿Por que no lo pruebas?;Why don't you try it?
Porque no quiero ¿vale?;Because I don't want to, OK?
Se tardan tres horas en venir;It takes three hours to come
¿Cuanto se tarda en volver?;How long does it take to go back?
Se tarda un poco más;It takes a little longer
¿Por que se tarda mas?;Why does it take longer?
Porque tienes que conducir despacio;Because you have to drive slowly
¿Hace viento hoy?;Is it windy today?
Todavía no;Not yet
Nunca hace viento por la mañana;It's never windy in the morning
¿Como lo sabes?;How do you know?
Te lo diré en un minuto;I'll tell you in a minute
¿Me estás esperando a mi?;Are you waiting for me?
Vendran si les invitas;They'll come if you invite them
No lo hare a menos que el este aqui;I won't do it unless he's here
Siempre tengo que hacerlo;I always have to do it
No tienen que llamarnos nunca;They never have to call us
A menudo ella tiene que convencerle;She often has to convince him
Tendrás que hacerlo mañana;You'll have to do it tomorrow
Todo el mundo tiene que trabajar;Everyone has to work
¿Quien tiene que encender el motor?;Who has to start the engine?
El sabe lo que tiene que hacer;He knows what he has to do
¿Que tiene que hacer?;What does he have to do?
¿Por que tiene que verla a ella?;Why does he have to see her?
El tiene que hacer lo que le digo;He has to do what I tell him
El debe ser rico;He must be rich
¿Por que crees eso?;Why do you think that?
¿No puedes ver los coches que tiene?;Can't you see the cars he has?
Eso no significa que sea rico;That doesn't mean he's rich
Si tu lo dices...;If you say so
Deben estar en la primera planta;They must be on the first floor
¿Que te hace creer eso?;What makes you think that?
Hay una luz encendida en la ventana;There's a light on in the window
Eso no quiere decir que haya alguien allí;That doesn't mean there's someone there
El debe tener muchos problemas;He must have a lot of problems
Esto debe ser la casa del Papa;This must be the Pope's house
Debe de hacer frio fuera;It must be cold outside
Siempre hace frio en invierno;It's always cold in the winter
El debe ser una persona agradable;He must be a pleasant person
Estas reuniones siempre duran mucho tiempo;These meetings always last long
Nunca sabes cuanto tiempo van a durar;You never know how long they're going to last
Un discurso suele durar una hora;A speech usually last an hour
Algunos discursos duran mucho menos;Some speeches last much less
Se tarda mucho tiempo en aprender un idioma;It takes a long time to learn a language
¿Por que se tarda tanto tiempo?;Why does it take so long?
Porque tienes que estudiar mucho;Because you have to study a lot
¿A quien le gusta estudiar?;Who likes to study?
A mucha gente le gusta estudiar;A lot of people like to study
Debe de ser gente extraña;They must be strange people
Son como tu y yo;They're like you and me
¿Puedo hacerte una pregunta?;Can I ask you a question?
Por supuesto que si;Of course you can
¿Puedes hablar un poco mas alto?;Can you speak a little louder?
¿No me puedes oír?;Can't you hear me?
Apenas puedo entender lo que dices;I can hardly/barely understand what you're saying
Puedes hacer lo que quieras;You can do whatever you want
El lo puede hacer mejor que yo;He can do it better than I can
No puede ser;It can't be
Puedo cancelarlo si quieres;I can cancel it if you want
Cualquiera puede hacer eso;Anyone can do that
!Pues yo no lo voy a hacer¡;Well, I'm not going to do it!
Le dire (a el) donde ponerlo;I'll tell him where to put it
No correre ese riesgo;I won't run that risk
¿Tienes miedo?;Are you afraid?
No tengo miedo de nada ni de nadie;I'm not afraid of anything or anyone
Se mas que nadie aqui;I know more than anyone here
Esto es un poco mas fácil de leer;This is a little easier to read
El corre mas deprisa que yo;He runs faster than me/Ido
No tengas miedo;Don't be afraid
No voy a hacerte nada;I'm not going to do anything to you
¿Por que me estas mirando así?;Why are you looking to me like that?
¿No te fías de mi?;Don't you trust me?
¿No quieres decirme nada?;Don't you want to tell me anything?
¿Quien no tiene coche?;Who doesn't have a car?
¿Alguien sabe donde esta Pepe?;Does anyone know where Pepe is?
No saben donde estoy;They don't know where I am
Todo el mundo sabe que no hay nadie allí;Everyone knows there isn't anyone there
Nadie me dice nada;Nobody tells me anything
No estoy de acuerdo con ellos;I don't agree with them
¿Saben cual es su opinión?;Do they know what her opinion is?
Ella nunca dice nada a nadie;She never tells anyone anything
¿Por que no hablas con ella?;Why don't you talk to her?
Le hablare cuando la vea;I'll talk to her when I see her
¿Con que frecuencia la ves?;How often do you see her?
Casi nunca la veo;I hardly ever see her
¿Por que no estas de acuerdo con el?;Why don't you agree with him?
Nunca estamos de acuerdo en nada;We never agree on anything
El no sabe cuando es la fiesta;He doesn't know when the party is
¿No sabe nadie donde esta Tom?;Doesn't anyone know where Tom is?
Yo se lo que el hace;I know what he does
it Se tambien por que lo hace;I also know why he does
¿Por que lo hace el?;Why does he do it?
¿Cuando me lo darán?;When will they give it to me?
¿Cuando te darán que?;When will they give you what?
Darme lo que me deben;Give me what they owe me
¿Que te deben?;What do they owe you?
Me deben mucho dinero;They owe me a lot of money
Me temo que no te lo vayan a pagar;I'm afraid they're not going to pay you
¿Que te hace creer eso?;What makes you think that?
Porque se que no tienen ni un duro;Because I know they don't have a penny
¿Quien sabe eso además de ti?;Who knows that besides you?
Bastante gente;Quite a few people
¿No se da ella cuenta de donde esta?;Doesn't she realise where she is?
¿Te das cuenta de lo que haces?;Do you realise what you're doing?
¿No es esto mas fácil que aquello?;Isn't this easier than that?
Ella es mas bonita que su hermana;She's prettier than her sister
Son mas altos que los alemanes;They're taller than the Germans
Esto es mas complicado;This is more complicated
No te preocupes, no tendre miedo;Don't worry, I won't be afraid
¿De que tienes miedo?;What are you afraid of?
¿Quien se lo va a pedir?;Who is going to ask her for it?
El tiene miedo de pedírmelo;He's afraid to ask me for it
Tienes que tener mas cuidado;You have to be more careful
¿Por que llevas camisas como esas?;Why do you wear shirts like that?
No seas como ellos;Don't be like them
Haz lo que digo, no lo que hago;Do what I say, not what I do
¿Por que tengo que hacer lo que dices?;Why do I have to do what you say?
Porque se lo que esta bien;Because I know what's right
¿Por que no vas allí andando?;Why don't you walk there?
¿No crees que esta un poco lejos?;Don't you think it's a little far?
Quizas para ti, pero no para mi;Maybe for you, but not for me
Tienes mucha practica;You have a lot of practice
¿Que vas a hacer?;What are you going to do?
Voy a aprender a tocar el piano;I'm going to learn how to play the piano
¿Por que estas interesado en esto?;Why are you interested in that?
Porque la musica me interesa;Because music interests me
¿Que más sabes hacer?;What else do you know how to do?
Dejame en paz;Leave me alone
Los precios caeran a finales de año;Prices will fall at the end of the year
¿Por que crees que caeran?;Why do you think they'll fall
Porque tienen que caer;Because they have to fall
Nadie esta comprando nada;Nobody's buying anything
¿Por que nadie esta comprando nada?;Why isn't anyone buying anything?
Porque nadie tiene dinero;Because nobody has any money
¿Quieres saber lo que yo pienso?;Do you want to know what I think?
Creo que la gente gasta demasiado;I think people spend too much
¿Te incluyes a ti mismo?;Do you include yourself?
No soy como el resto de vosotros;I'm not like the rest of you
Me considero un hombre especial;I consider myself a special man
¿Que te hace tan especial?;What makes you so special?
¿Conoces a muchos hombres con alas?;Do you know many men with wings?
¿Quieres decir que tienes alas?;Do you mean you have wings?
Tengo dos para ser mas exacto;I have two to be exact
¿Que haces con ellas?;What do you do with them?
¿Para que crees que son las alas?;What do you think wings are for?
Son para volar;They're for flying
day Pareces mas inteligente cada dia;You seem more intelligent every
Entonces puedes volar;Then you can fly
Asi es;That's right
No se que decir;I don't know what to say
Prometeme que no lo diras a nadie;Promise me you won't tell anyone
De acuerdo, tienes mi palabra;All right, you have my word
Dejame verte volar;Let me see you fly
Nunca dejo a nadie verme volar;I never let anyone see me fly
¿Cuanta gente sabe que tienes alas?;How many people know you have wings?
Solo unos pocos lo saben;Only a few know (about it)
No me fio de gente como el;I don't trust people like him
¿Que tienes en contra de el?;What do you have against him?
Le voy a dar una leccion;I'm going to teach him a lesson
¿Que le vas a hacer?;What are you going to do to him?
Voy a hacer algo que él nunca olvidara;I'm going to do something that he'll never forget
No me hagas mas preguntas;Don't ask me any more questions
Me marchare cuando termine;I'll leave when I finish
Se iran cuando yo se lo diga;They leave when I tell them
Necesito pensarlo;I need to think about it
¿Por qué no le buscarán?;Why won't they look for him?
No te preocupes, no lo perderé;Don't worry, I won't lose it
Nunca volveré a hacer eso;I'll never do that again
Él nunca volverá si yo estoy aquí;He'll never come back if I'm here
Siempre estaré aquí si me necesitas;I'll always be here if you need me
No lloverá hasta la semana que viene;It won't rain until next week
¿Cómo sabes tantas cosas?;How do you know so many things?
Él no hará ese tipo de esfuerzo;He won't make that kind of effort
No les daré tu nombre a no ser que me lopidan;I won't give them your name unless they ask me for it
No hablarás inglés si no lo estudias;You won't speak English if you don't study it
Estoy cansado de estudiar;I'm tired of studying
No eres el único;You're not the only one
No enseñaré a niños como él;I won't teach children like him
Me niego;I refuse
Entonces, no puedes trabajar aquí;Then you can't work here
¿Por qué no puedo?;Why can't I?
Porque la mayoría de los niños son como eseniño;Because most children are like that child
Esto no dura mucho;This doesn't last long
No lo haré para nadie salvo para él;I won't do it for anyone but him
Está oscureciendo;It's getting dark
Las cosas están poniéndose difíciles;Things are getting difficult
Es demasiado duro para mí;It's too hard for me
Él no tiene suficiente dinero;He doesn't have enough money
Él no es lo suficientemente fuerte;He's not strong enough
Basta ya;That's enough
¿Qué te pasa?;What's the matter with you?
¿Por qué no nos lo explica?;Why doesn't he explain it to us?
¿Por qué tiene siempre que gritar?;Why does he always have to shout?
Estaré de vuelta en un par de días;I'll be back in a couple of days
Enseguida vuelvo;I'll be right back
Nunca se lo voy a ofrecer ( a ella);I'm never going to offer it to her
¿A qué hora llegarán aquí?;What time will they get here?
No tengo ni idea;I have no idea
No saltarán la valla;They won't jump over the fence
Es demasiado alta para ellos;It's too high for them
Yo no creo que sea lo bastante alta;I don't think it's high enough
No estoy pidiendo tu opinión;I'm not asking your opinion
!Lárgate de aquí¡;Get out of here!
¿Cómo puedes hacer una cosa así?;How can you do a thing like that?
choice Porque no tengo más remedio;Because I have no
¿Cuándo lo vas a elegir?;When are you going to choose it?
Son muy parecidos, ¿no?;They're very similar, aren't they?
Este es de oro;This one's gold
Me quedaré con el de plata;I'll take the silver one
No lo verificaré si eso es lo que quieres;I won't check it if that's what you want
Tardaré unos tres meses;It'll take me about three months
Suelo tardar una hora;It usually takes me an hour
Ud.es un hombre muy valiente;You're a very brave man
Se tarda mucho en aprender inglés;It takes a long time to learn English
Yo no tardaré mucho, ya verás;It won't take me long, you'll see
Estuve con ellos ayer;I was with them yesterday
¿Dónde estuviste?;Where were you?
¿Dónde naciste?;Where were you born?
¿Quá hacías a las diez?;What were you doing at ten o'clock?
Yo no hacía nada;I wasn't doing anything
¿Cuál fue su opinión?;What was his opinion?
Él no estuvo allí;He wasn't there
No estaba lloviendo;It wasn't raining
Hubo una reunión aquí;There was a meeting here
¿Hubo huelga ayer?;Was there a strike yesterday?
Hubo huelgas en todas partes;There were strikes everywhere
¿No hubo una huelga aquí?;Wasn't there a strike here?
Nunca hay huelgas aquí;There are never any strikes here
Todo fue igual el año pasado;Everything was the same last year
Hubo una mujer aquí ayer, ¿no?;There was a woman here yeterday, wasn't there?
Fue bastante fácil;It was quite easy
Él era un gran lider;He was a great leader
El camión estaba en el garaje;The truck was in the garage
¿Dónde estaba?;Where was it?
Dije que estaba en el garaje;I said it was in the garage
¿Qué dijiste?;What did you say?
¿No me puedes oir?;Can't you hear me?
¿Me estas hablando a mí?;Are you talking to me?
¿Qué decías?;What were you saying?
Yo no decía nada;I wasn't saying anything
¿Pero no dijiste algo acerca de Tom?;But didn't you say something about Tom?
No dije nada en absoluto;I didn't say anything at all
¿Qué le dijiste?;What did you tell him?
Le dije todo;I told him everything
¿Quién te dijo eso?;Who told you that?
¿Quién dijo eso?;Who said that?
¿Fuiste allí?;Did you go there?
¿Por qué no viniste aquí?;Why didn't you come here?
¿Fue alguien contigo?;Did anyone go with you?
¿Con quién estuviste?;Who were you with?
¿Viste a los padres de Pepe?;Did you see Pepe's parents?
¿Qué hacían cuando les viste?;What were they doing when you saw them?
¿Sabían que les estabas mirando?;Did they know you were looking at them?
¿Te vieron a tí?;Did they see you?
¿Qué hiciste cuando te vieron?;What did you do when they saw you?
Ellos deben de tener mucho dinero;They must have a lot of money
Lo siento pero me tengo que ir;I'm sorry but I have to go
¿Por qué te tienes que ir?;Why do you have to go?
Tengo cosas que hacer;I have some things to do
¿No quieres estar conmigo?;Don't you want to be with me?
Me gustaría, pero no puedo;I'd like to but I can't
¿Cuándo volveré a verte?;When will I see you again?
Cuando vuelva mañana por la mañana;When I come back tomorrow morning
¿Me puedes hacer un favor?;Can you do me a favour?
Lo que quieras;Whatever you want
¿Quién le vió?;Who saw him?
¿Quién lo hizo?;Who did it?
¿Quién le siguió?;Who followed him?
¿Quién jugo con ello?;Who played with it?
¿Quién asistió al concierto?;Who attended the concert?
¿Quién dejó esto aquí?;Who left this here?
¿Quién rompió la lámpara?;Who broke the lamp?
¿Quién intento llamarme anoche?;Who tried to call me last night?
¿Qué pasó?;What happened?
¿Cuánta gente estaba allí cuando ocurrió?;How many people were there whe it happened?
¿Por qué no me llamó nadie?;Why didn't anyone call me?
¿Le mataste tú?;Did you kill him?
¿La vió tu hermano?;Did your brother see her?
¿Qué hacía ella cuando él la vio?;What was she doing when he saw her?
¿Por qué no quieres contestarme?;Why don't you want to answer me?
¿Por qué dejaste esto aquí?;Why did you leave this here?
¿Cuándo la llevaste allí?;When did you take her there?
¿Quería ir ella contigo?;Did she want to go with you?
¿Cuándo viste la pelea?;When did you see the fight?
¿Cómo empezó?;How did it start?
¿Que hacías cuando empezó?;What were you doing when it started?
¿Cómo terminó?;How did it end?
¿Quién ganó la pelea?;Who won the fight?
¿Qué le pasó al otro hombre?;What happened to the other man?
¿Le llevaron al hotel?;Did they take him to the hotel?
¿Por qué le llevaron allí?;Why did they take him there?
¿Le vio un médico?;Did a doctor see him?
¿Por qué no intentaste pararle?;Why didn't you try to stop him?
¿Quién decidió hacer eso?;Who decided to do that?
¿De quién fue esa idea?;Whose idea was that?
¿Y después qué pasó?;And then what happened?
¿De quién era el cuchillo?;Whose knife was it?
¿Pertenecía a Morgan?;Did it belong to Morgan?
¿Estás seguro de que estaba borracho?;Are you sure he was drunk?
¿Por qué crees que el lo hizo?;Why do you think he did it?
¿Tenía el algo contra ella?;Did he have anything against her?
¿La tenía él miedo?;Was he afraid of her?
¿Qué hizo él con el cuchillo?;What did he do with the knife?
¿Quién le mató?;Who kill him?
¿Quién le dio el cuchillo?;Who gave him the knife?
¿Por qué se lo diste?;Why did you give it to him?
¿Donde conseguiste esa pistola?;Where did you get that gun?
¿Por qué no la usaste?;Why didn't you use it?
¿Sabía él que la tenías?;Did he know you had it?
¿Qué hizo cuando la vio?;What did he do when he saw it?
¿Intento quitartela?;Did he try to take it from you?
¿Cuál fue tu primera reacción?;What was your first reaction?
¿Se alegraba él de verte?;Was he glad to see you?
¿Por qué estaba el tan nervioso?;Why was he so nervous?
Muchas gracias por contestar a mis preguntas;Thank you very much for answering my questions
Nadie le trajo aquí;Nobody brought him here
¿Quién le llevó al zoo?;Who took him to the zoo?
Nadie me lo leyó;No one / nobody read it to me
Todos pensábamos que estaban aquí;We all thoght they were here
La mayoría de ellos vinieron con él;Most of them came with him
¿Quién hizo ese vestido?;Who made this dress?
La esperé durante una hora;I waited for him for an hour
¿A quién salvaste?;Who did you save?
¿A donde lo mandaron?;Where did they send it?
¿A quién lo mandaste?;Who did you send it to?
¿Por qué no me mandaste una copia?;Why didn't you send me a copy?
¿Quién lo cubrió?;Who covered it?
Me mintieron;They lied to me
Me enteré esta mañana;I found out this morning
¿Quién pintó este techo?;Who painted this ceilling?
¿Fumaste delante de él?;Did you smoke in front of him?
¿Dijo él algo?;Did he say anything?
Me empujaron al agua;They push me into the water
Me utilizaron;They used me
Llegaron aquí tarde;They got here late
Llovió todo el día;It rained all day
No nevó el invierno pasado;It didn't snow last winter
¿Quién inventó el teléfono?;Who invented the telephone?
¿Lo inventaste tú?;Did you invent it?
¿Quién robó el cuadro?;Who stole the picture?
¿Por qué lo robaste?;Why did you steal it?
Cené con ella;I had dinner with her
Cenaron fuera;They had dinner out
Lo comí con las manos;I ate it with my hands
Lo mecanografié muy despacio;I typed it very slowly
Tardé una hora;It took me an hour
Terminé una hora mas tarde;I finished an hour later
Él empezó a gritarme;He began to shout at me
Me levanté pronto;I got up early
Me vestí en la oscuridad;I got dressed in the dark
Desayuné con mi mujer;I had breakfast with my wife
Salí de casa a las;I left home at o'clock
Busqué un taxi;I looked for a taxi
Decidí coger un autobus;I decided to catch a bus
Llegué tarde a la oficina;I got to the office late
Mi jefe me estaba esperando;My boss was waiting for me
Me dijo buenos dias;He said good morning to me
Volvió a su despacho;He went back to his office
Me invitó a comer;He invited me to lunch
Pagó la cuenta;He paid the bill
Dejó una buena propina;He left a big tip
Me habló de mi futuro;He spoke to me about my future
Me dio consejos;He gave me advice
Cambió de tema;He changed the subject
Se levantó y se fue;He got up and left
No lo probarán si está caliente;They won't try it if it's hot
Hay muy pocos dias como hoy;There are very few days like today
Es increible, no me lo puedo creer;It's incredible, I can't believe it
¿Qué hará él si lo acusamos?;What'll he do if we accuse him?
Déjame eso a mí;Leave that to me
Sé lo que hago;I know what I'm doing
La conocí en un viaje a Londres;I met her on a trip to London
¿Qué hacías en un viaje a Inglaterra?;What were you doing on a trip to England?
Yo queía mejorar mi inglés;I wanted to improve my English
¿Tuvíste éxito?;Did you succeed?
Aprendí muy poco;I learned very litle
¡Pero estuviste allí dos meses!;But you were there for months!
Los pasé con ella;I spent them with her
Hablamos español todo el tiempo;We spoke Spanish the whole time
¿Gastaste todo tu dinero?;Did you spend all your money?
Mucho más de lo que tú crees;Much more than you think
Dicen que eres bastante rico;They say you're quit rich
No te fies de todo lo que oyes;Don't trust everything you hear
Pero tiene razón, ¿no?;But they're right, aren't they?
Quizás sí, quizás no;Maybe they are, maybe they aren't
Alguien dejó algo en alguna parte;Somebody left something somewhere
Nadie dejó nada en ninguna parte;Nobody left anything anywhere
Se acabó la fiesta;The party's over
Las cosas nunca son tan fáciles como parecen;Things are never as easy as they seem
Fue tan malo que me marché;It was so bad that I left
Él es mucho más alto de lo que crees;He's a lot taller than you think
Soy mas fuerte que el hombre más fuerte delmundo;I'm stronger than the strongest man in the world
Estaban tan buenos que me comí tres;They were so good that I ate three
¿Por qué comiste tantos?;Why did you eat so many?
Es mucho peor de lo que crees;It's much worse than you think
Tendrás que hacer un esfuerzo;You'll have to make an effort
Nunca volveré a hacerlo;I'll never do it again
Estarás aquí, ¿no?;You'll be here, won't you?
Duele mucho más de lo que pensé;It hurts much more than I thought
¿Donde te duele?;Where does it hurt?
Me duele el hombro;My shoulder hurts
tomorrow Habrá una huelga mañana;There will be a strike
Habrá por lo menos diez chicas;There will be at least girls
¿Cuantas habrá?;How many will there be?
Habrá bastantes;There will be quite a few
¿Que quieres decir con "bastantes"?;What do you mean by "quite a few"?
Más de lo que te puedes imaginar;More than you can imagine
Cuando llegues allí, dale esto;When you get there, give this to him
No sé por qué ella te gusta tanto;I don't know why you like her so much?
Hay muchas chicas como ella;There are a lot of girls like her
Muy pocas son tan agudas como ella;Very few are as sharp as she is
Eso es lo que busco en las mujeres;That's what I look for in women
Hay poca gente tan rica como él;There are few people as rich as he is
Me gustaría tener otra oportunidad;I'd like to have another chance
Tendremos que encontar otra manera;We'll have to find another way
Si alguna vez necesitas algo, llamame;If you ever need anything, call me
¿Intenta él alguna vez influenciarte?;Does he ever try to influence you?
¿Te duele alguna vez el dedo?;Does your finger ever hurt?
Suelen hacerlo ellos mismos;They ussualy do it themselves
El trabajar es bueno para la salud;Working is good for your health
¿Cuanto te debo?;How much do I owe you?
Le debo un favor;I owe him a favour
Fue realmente interesante;It was really interesting
¿Cuándo murió él?;When did he die?
¿Cómo murió?;How did he die?
Murió con las botas puestas;He died with his boots on
Creo que se las quitó primero;I think he took them off first
¿Quién te dijo eso?;Who told you that?
No me acuerdo de nada de lo que dije;I don't remember anything I said
Recuérdame hacerles una visita;Remind me to pay them a visit
No me dí cuenta de que estabas aquí;I didn't realise you were here
¿Quién te mandó?;Who sent you?
¿Conoces a alguien que viva en Roma?;Do you know anyone who lives in Rome?
Sé quien eres;I know who you are
Sé qué hora es;I know what time is it
No tengo miedo de gente como él;I'm not afraid of people like him
Asegúrate de que están comiendo;Make sure they're eating
Estoy buscando a alguien que no fume;I'm looking for someone who doesn't smoke
El siempre está de acuerdo conmigo;He always agrees with me
No se tarda mucho;It doesn't take long
Voy al trabajo en coche;I drive to work / go by car
¿Quién está en la puerta?;Who's at the door?
Te pareces a tu padre (fisicamente);You look like your father
Lo probé pero no me gustó;I tried it but I didn't like it
¿Por qué no te gustó?;Why didn't you like it?
Lo que necesito es un buen puro;What I need is a good cigar
¿Dónde naciste?;Where were you born?
Él es mucho mayor que yo;He's much older than I am
Él no es tan mayor como tu crees;He's not as old as you think
¿Cuántos años crees que tiene?;How old do you think he is?
Parece tener unos años;He looks about years old
Lo siento, pero tuve que hacerlo;I'm sorry, but I had to do it
No tuve mas remedio;I had no choice
Espero que entiendas por qué lo hice;I hope you understand why I did it
No fue culpa mía;It wasn't my fault
Te dije que lo iba a hacer;I told you I was going to do it
¿Por qué no intentaste pararme?;Why didn't you try to stop me?
Nadie hizo nada para pararme;Nobody did anything to stop me
Perdí el único amigo que tenía;I lost the only friend I had
Lo siento mucho;I'm very sorry
Le voy a pedir perdón;I'm going to apologise to him
Si tiras esa piedra, te castigaré;If you throw that stone, I'll punish you
¿Crees todo lo que te dicen?;Do you believe everything they tell you?
Solo creo lo que tu me dices;I only believe what you tell me
