pregunta;respuesta
Lo pondré más tarde.;I'll set it later.
Pon la mesa.;Set / lay the table.
Alguien ha estado aquí.;Someone has been here.
Ya he comido.;I've already eaten.
¿Has comido ya?;Have you eaten yet?
Estoy aquí.;I'm here.
Llevo aquí una hora.;I've been here for an hour.
Estoy aprendiendo inglés.;I'm learning English.
Estoy aprendiendo inglés desde hace tres meses.;I've been learning English for three months.
Tengo el pelo canoso.;I have gray / grey hair.
Tengo el pelo canoso desde hace muchos años.;I've had gray hair for many years.
Le conozco.;I know him.
Le conozco desde hace un mes.;I've known him for a month.
Están intentando matarme.;They're trying to kill me.
Llevan varios años intentando matarme.;They've been trying to kill me for several years.
Lo llevo haciendo desde hace algún tiempo.;I've been doing it for some time.
Llevan aquí unos días.;They've been here for a few days.
¿Cuánto tiempo llevas aquí?;How long have you been here?
¿Llevas mucho tiempo con ella?;Have you been with her for a long time?
¿Cuánto hace que la conoces?;How long have you known her?
¿Conoces a sus padres? (de ella);Do you know her parents?
¿Cuándo los conociste?;When did you meet them?
¿Te llevas bien con ellos?;Do you get along with them?
Me llevo bien con todo el mundo.;I get along with everybody.
¿Dónde has estado?;Where have you been?
Te dije que no me gritaras.;I told you not to shout at me.
¿Por qué no lo has leído?;Why haven't you read it?
¿Tengo que darte razones para todo?;Do I have to give you reasons for everything?
Ha sido un día muy caluroso.;It's been a very hot day.
Espero que hayas tenido tiempo para pensarlo.;I hope you've had time to think about it.
Ya he comido.;I've already eaten.
Ya se han puesto en contacto con él.;They've already contacted him.
¿Por qué no has hecho nada?;Why haven't you done anything?
¿Ha recibido tu gente la orden?;Have your people received the order?
¿De qué orden estás hablando?;What order are you talking about?
Nunca me ha gustado el ajedrez.;I've never liked chess.
Han estado aquí, ¿no?;They've been here, haven't they?
¿No has tomado algunas medidas?;Haven't you taken any measures?
No han hecho nada.;They haven't done anything.
No la he visto aún.(a ella);I haven't seen her yet.
Ese problema nunca ha sido resuelto.;That problem has never been solved.
El plan no ha sido aprobado.;The plan hasn't been approved.
Él ha hecho mucho por mí.;He's done a lot for me.
Él no ha llamado, ¿verdad?;He hasn't called, has he?
¿Has pensado alguna vez en esa posibilidad?;Have you ever thought about that possibility?
Tengo problemas con ellos desde hace mucho tiempo.;I've had problems with them for a long time.
¿Les has pagado ya?;Have you paid them yet?
No les he visto siquiera.;I haven't even seen them.
Ha estado lloviendo todo el día.;It's been raining all day.
¿Lo has firmado ya?;Have you signed it yet?
No lo he firmado todavía.;I haven't signed it yet.
Tienes que firmarlo.;You have to sign it.
No me digas lo que tengo que hacer.;Don't tell me what I have to do.
Ha habido un malentendido.;There's been a misunderstanding.
Ha habido varios problemas.;There have been several problems.
Ha sido un día difícil.;It's been a tough day.
He recibido mucha presión.;I've received a lot of pressure.
He tenido que tomar decisiones.;I've had to make decisions.
He tenido que ser duro con algunas personas.;I've had to be tough with some people.
He tenido que defender mis puntos de vista.;I've had to defend my points of view.
Ha habido algunos desacuerdos.;There have been some disagreements.
He tenido que imponer mi voluntad.;I've had to impose my will.
No ha habido ningún incendio.;There hasn't been any fire.
Llevamos aquí diez días.;We've been here for 10 days.
Nadie ha muerto nunca de agujetas.;Nobody's ever died of sore muscles.
Nunca he hecho algo así.;I've never done anything like that.
El nivel del agua ha subido.;The water level has risen.
Él ha perdido la mayoría de sus amigos.;He's lost most of his friends.
El plástico se ha hecho más importante que el acero.;Plastic has become more important than steel.
Nunca ha sido fácil.;It's never been easy.
No he empezado a buscarlo aún.;I haven't started looking for it yet.
Han estado escuchándonos.;They've been listening to us.
Nunca te he prometido nada.;I've never promised you anything.
Nos lo hemos pasado bien.;We've had a good time.
Ha hecho buen tiempo.;The weather's been nice.
Ha hecho un poco de calor.;It's been a little hot.
¿Cuándo volveremos a vernos?;When will we see each other again?
Has crecido mucho desde la última vez que te vi.;You've grown a lot since the last time I saw you.
Nacieron en aquella aldea.;They were born in that village.
Se criaron allí también.;They grew up there too.
Fue descubierto hace unos años.;It was discovered a few years ago.
Le fue recordado asistir a la reunión.;He was reminded to attend the meeting.
Fue asesinado por los indios.;He was killed by the Indians.
Fue muerto por una flecha.;He was killed by an arrow.
Fue dejado morir.;He was left to die.
Fue salvado por un misionero.;He was saved by a missionary.
Fue llevado al fuerte.;He was taken to the fort.
Fue presentado al capitán.;He was introduced to the captain.
Le fue concedida una medalla.;He was given a medal.
Fue enviado a la capital.;He was sent to the capital.
Nunca ha vuelto.;He's never come back / returned.
Nunca nos ha escrito.;He's never written to us.
Creo que se ha olvidado de nosotros.;I think he's forgotten about us.
Ni siquiera nos dio las gracias.;He didn't even thank us.
No le he visto desde entonces.;I haven't seen him since then.
No he oído nada de él.;I haven't heard anything about him.
Nadie me ha dicho nada sobre él.;Nobody's told me anything about him.
Ni siquiera sé donde está.;I don't even know where he is.
Cuando lleguen aquí, te los presentaré.;When they get here, I'll introduce them to you.
Seamos más razonables.;Let's be more reasonable.
jamás he visto un contrato tan largo.;I've never seen such a long contract.
Nunca he hablado con un hombre tan terco.;I've never spoken to such a stubborn man.
Nunca he visto una película tan graciosa.;I've never seen such a funny film.
Nunca he tratado con un hombre tan astuto.;I've never dealt with such a shrewd man.
Nunca me lo he pasado tan bien.;I've never had such a good time.
Nunca he trabajado tan duro.;I've never worked so hard.
Nunca he visto a tantas mecanógrafas.;I've never seen so many typists.
Nunca he comido tanta comida.;I've never eaten so much food.
Nunca he tenido compañía tan agradable.;I've never had such pleasant company.
Nunca he hecho una cosa tan estúpida.;I've never done such a stupid thing.
Nunca he cometido tantos errores.;I've never made so many mistakes.
La obra fue tan aburrida que me fui.;The play was so boring that I left.
Era una obra tan aburrida que me fui.;It was such a boring play that I left.
Hemos llegado a una conclusión.;We've reached a conclusion.
¿A qué conclusión habéis llegado?;What conclusion have you reached?
Hemos decidido no hacer nada.;We've decided not to do anything.
¿Os ha presionado alguien?;Has anyone pressured you?
¿Habéis recibido amenazas?;Have you received any threats?
Hace años que esto no ocurría.;This hasn't happened for years.
No recuerdo la última vez que esto ocurrió.;I don't remember the last time this happened.
No sé de lo que estás hablando.;I don't know what you're talking about.
Da igual.;It doesn't matter.
Siempre he intentado ayudarles.;I've always tried to help them.
Nunca han hecho nada a cambio.;They've never done anything in return.
No les importa lo que te ocurra.;They don't care what happens to you.
Me alegro de saber eso.;I'm glad to know that.
Ese es el tipo de música que me gusta.;That's the kind of music I like.
Nunca he tenido que pegar a nadie.;I've never had to hit anyone.
¿Se ha firmado ya?;Has it been signed yet?
¿Se han visto ya?;Have they seen each other yet?
¿Se ha hecho ya?;Has it been done yet?
¿Por qué no se ha hecho?;Why hasn't it been done?
Nadie me dijo que tenía que ser hecho.;Nobody told me it had to be done.
¿Han sido despertados ya?;Have they been woken up yet?
Ella ya ha sido advertida dos veces.;She's already been warned twice.
Si algo ocurre, es culpa de ella.;If something happens, it's her fault.
No estoy dispuesto a aceptar la culpa.;I'm not willing to accept the blame.
No me culpes a mí.;Don't blame me.
No quiero que culpes a nadie.;I don't want you to blame anyone.
No es culpa de nadie.;It's nobody's fault.
No tenemos que echar la culpa a nadie.;We don't have to blame anyone.
¿Por qué hacer las cosas más difíciles de lo que ya son?;Why make things more difficult than they already are?
¿Me lo puedes resumir?;Can you summarise it for me?
Sé justo lo suficiente para apañarme.;I know just enough to get by.
Me apaño con mi inglés.;I get by with my English.
No te preocupes, saldremos del paso.;Don't worry, we'll get by.
Siempre han querido que yo lo haga.;They've always wanted me to do it.
Nunca te he pedido que mates a nadie.;I've never asked you to kill anyone.
Ni siquiera he tenido la oportunidad de despedirme todavía.;I haven't even had the chance to say goodbye yet.
No le han cogido aún.;They have caught him yet.
Nunca he pertenecido a ese club.;I've never belonged to that club.
Nunca llegarás a ser presidente.;You'll never become president.
Ni siquiera serás ministro.;You won't even be a minister.
Nunca he trabajado en un ministerio.;I've never worked in a ministry.
No se han muerto todavía.;They haven't died yet.
Siguen vivos.;They're still alive.
¿A quién pegó Juan?;Who did John hit?
Deberías tener mucho cuidado.;You should be very careful.
Deberías llamarle antes de ir.;You should call him before going.
Deberían montar su propio negocio.;They should start their own business.
Deberíamos tratar de convencerle.;We should try to convince him.
No me interesan tus convicciones.;I'm not interested in your convictions.
Que yo sepa, no ha habido problemas.;As far as I know, there haven't been any problems.
¡Qué voz más hermosa tiene ella!;What a beautiful voice she has!
¡Qué ojos más grandes tienes!;What big eyes you have!
¡Qué obra ( de teatro) más aburrida!;What a boring play!
¡Larguémonos de aquí!;Let's get out of here!
No pises las flores.;Don't step on the flowers.
No lo arrastres.;Don't drag it.
Tardé años en construirlo.;It took me years to build it.
Suelo tardar media hora.;It usually takes me half an hour.
¡Qué discurso más largo!;What a long speech!
Nunca he oído un discurso tan largo.;I've never heard such a long speech.
Fue tan largo que me dormí.;It was so long that I fell asleep.
Fue un discurso tan largo que me dormí.;It was such a long speech that I fell asleep.
No deberías estar aquí.;You shouldn't be here.
No deberías mirar a la gente de ese modo.;You should not look at people like that.
Deberías dar las gracias cuando la gente te da cosas.;You should say thank you when people give you things.
Nunca he sabido cómo convencerle.;I've never known how to convince him.
Llevo 20 años casado.;I've been married for 20 years.
Vivo aquí desde hace años.;I've been living here for years.
¿Cuánto tiempo lleva lloviendo?;How long has it been raining?
Llevo tres años intentando conseguir una;I've been trying to get an interview with him for three years.
Nunca me daré por vencido.;I'll never give up.
Ella está detrás de mí desde que vine aquí.;She's been after me since I came here.
¿Qué quiere ella?;What does she want?
No tengo ni la más remota idea.;I haven't the slightest idea.
¿No se lo has preguntado?;Haven't you asked her?
Creo que se ha enamorado de ti.;I think she's fallen in love with you.
Me temo que tengas razón.;I'm afraid you're right.
¿Qué hacemos?;What shall we do?
Es tu problema, no el mío.;It's your problem, not mine.
No tiene ningún sentido.;It doesn't make any sense.
¿Qué es lo que no tiene ningún sentido?;What doesn't make any sense?
Ella podría ser mi madre.;She could be my mother.
¿Te molesta ella mucho?;Does she bother you a lot?
Casi nunca me deja en paz.;She hardly ever leaves me alone.
Dile que no estás interesado.;Tell her you're not interested.
Ella no quiere escucharme.;She doesn't want to listen to me.
Entonces no le hagas caso.;Then ignore her.
No es tan fácil.;It's not that easy.
¿Qué quieres decir con que no es tan fácil?;What do you mean it's not that easy?
Es ella quien me paga.;She's the one who pays me.
¿Cuánto hace que ocurre esto?;How long has this been happening?
Desde que entré en la compañía.;Since I joined the company.
Supongo que no hay nada que puedas hacer al respecto.;I guess there's nothing you can do about it.
Cuando yo tenga suficiente dinero compañía., dejaré la;When I have enough money, I'll leave the company.
Esa me parece una buena idea.;That sounds like a good idea.
¿Cuándo esperas tener lo suficiente?;When do you expect to have enough?
Cuando ella me pague lo que me debe.;When she pays me what she owes me.
¿Cuánto te debe?;How much does she owe you?
Me debe dos mensualidades.;She owes me two monthly payments.
¿Cómo puedes vivir sin ese dinero?;How can you live without that money?
Me apaño.;I get by.
¿Has vendido tus cuadros?;Have you sold your paintings?
He tenido que vender algunos.;I've had to sell some.
¿Por qué no montas una galería?;Why don't you start a gallery?
Se tarda mucho en montar algo así.;It takes a long time to start something like that.
No tanto como tú crees.;Not as long as you think.
Tengo poca experiencia en cosas así.;I have little experience in things like that.
Te puedo ayudar si me dejas.;I can help you if you let me.
Incluso podríamos ser socios.;We could even be partners.
Eso parece interesante.;That sounds interesting.
Deja que lo piense esta noche.;Let me think about it tonight.
Creo que es una idea genial.;I think it's a great idea.
Puede que tengas razón.;You may be right.
Podemos por fin poseer algo.;We can finally own something.
¿Y qué hay de los problemas?;And what about the problems?
Nunca he tenido dolor de cabeza.;I've never had a headache.
Han estado aquí varias veces.;They've been here several times.
¿Por qué no lo has hecho todavía?;Why haven't you done it yet?
Llevan mucho tiempo allí.;They've been there for a long time.
Siempre he tenido miedo de los lobos.;I've always been afraid of wolves.
Ha habido una demora.;There's been a delay.
No me han dado la orden todavía.;They haven't given me the order yet.
Han sido notificados.;They've been notified.
Ya me lo han dicho.;They've already told me.
No he llegado a ninguna conclusión.;I haven't reached any conclusion.
Aquí lleva lloviendo tres semanas.;It's been raining here for three weeks.
¿No has hecho nada?;Haven't you done anything?
Hace mucho que no voy por allí.;I haven't gone there for a long time.
Hace mucho que no le veo.;I haven't seen him for a long time.
Hace años que no bailamos juntos.;We haven't danced together for years.
Debes de estar loco.;You must be crazy.
Nunca he estado tan loco como hoy.;I've never been as crazy as today.
Ha habido una explosión.;There's been an explosion.
Hasta ahora tres personas han muerto.;So far three people have died.
No hemos perdido nada aún.;We haven't lost anything yet.
¿Has hablado con él últimamente?;Have you spoken to him lately?
¿Por qué no te vienes con nosotros?;Why don't you come with us?
No ha sido reparado todavía.;It hasn't been repaired yet.
No sé si me gusta porque nunca lo he probado.;I don't know if I like it because I've never tried it.
Pruébalo, te gustará.;Try it, you'll like it.
¿A qué sabe?;What does it taste like?
¿Cómo es Juan?;What's John like?
Juan nunca me ha caído bien.;I've never liked John.
Puedes pulsar el botón que quieras.;You can push whatever button you want.
¿Se enfadarán si pulso éste?;Will they get angry if I push this one?
Escúchame cuando te hablo.;Listen to me when I speak to you.
No podemos llegar a un acuerdo.;We can't reach an agreement.
Me han dicho que tenga cuidado.;They've told me to be careful.
Nunca he tenido que usar la fuerza.;I've never had to use force.
No he tenido tiempo todavía.;I haven't had time yet.
Hemos estado fuera unos días.;We've been away for a few days.
¿Qué se ha hecho?;What's been done?
¿No sabe nadie dónde están?;Doesn't anyone know where they are?
Esta es la última vez que lo voy a hacer.;This is the last time I'm going to do it.
Se han tomado varias decisiones.;Several decisions have been made.
No ha llovido últimamente.;It hasn't rained lately.
No la he visto últimamente.;I haven't seen her lately.
No la he visto desde hace dos meses.;I haven't seen her for two months.
¿Qué ha estado haciendo ella?;What has she been doing?
No tengo ni idea.;I have no idea.
Voy a ponerme en contacto con ella.;I'm going to contact her.
Nunca podré leer todos esos libros.;I'll never be able to read all those books.
Todavía me encuentro un poco cansado.;I still feel a little tired.
¿Cómo te sentiste cuando te levantaste esta;How did you feel when you got up this morning?
Tuve ganas de volver a la cama.;I felt like going back to bed.
¿Qué te gustaría hacer?;What would you like to do?
¿Has pensado alguna vez en retirarte?;Have you ever thought about retiring?
Es lo último que quiero hacer.;It's the last thing I want to do.
¿No crees que necesitas un descanso?;Don't you think you need a rest?
Tendré tiempo más que suficiente para eso;I'll have plenty of time for that when I reach 65.
Voy a asegurar mi casa.;I'm going to insure my house.
¿Cuánto crees que vale?;How much do you think it's worth?
Vale más de lo que piensas.;It's worth more than you think.
¿Por qué la quieres asegurar?;Why do you want to insure it?
Porque está llena de cosas valiosas.;Because it's full of valuable things.
¿Cómo qué?;Like what?
Mi mujer tiene todas sus joyas allí.;My wife has all her jewels there.
Tengo unas antigüedades que valen una fortuna.;I have some antiques that are worth a fortune.
Tengo una valiosa colección de pinturas.;I have a valuable collection of paintings.
Hemos hecho muchos progresos.;We've made a lot of progress.
Hemos progresado bastante.;We've progressed quite a lot.
Ha habido bastantes problemas.;There have been quite a few problems.
Hemos tenido mucha suerte.;We've been very lucky.
Antes teníamos reuniones semanales.;We used to have weekly meetings.
El progreso se mide periódicamente.;Progress is measured periodically.
¿Con qué frecuencia habrá exámenes?;How often will there be exams?
Habrá un examen al mes.;There'll be a monthly exam.
Antes teníamos exámenes trimestrales.;We used to have quarterly exams.
De ahora en adelante habrá más.;From now on, there will be more.
¿Qué tipo de reacción esperas por parte de los alumnos?;What kind of reaction do you expect from the students?
No dirán nada.;They won't say anything.
¿Cómo puedes estar tan seguro?;How can you be so sure?
Nuestros alumnos nunca se quejan.;Our students never complain.
Jamás se han quejado de nada.;They've never complained about anything.
Siempre hemos mantenido buenas relaciones con los alumnos.;We've always maintained good relations with the students.
Tengo este dolor desde hace un mes.;I've had this pain for a month.
Tienen esa casa desde hace un año.;They've had that house for a year.
Hemos llegado a un importante acuerdo.;We've reached an important agreement.
Espero que sepas lo que estás haciendo.;I hope you know what you're doing.
No te preocupes por nosotros.;Don't worry about us.
No se encontró nada.;Nothing was found.
La casa fue registrada.;The house was searched.
Yo vivía antes en ese vecindario.;I used to live in that neighbourhood.
Ya no vivo allí.;I don't live there anymore.
¿Por qué te mudaste?;Why did you move?
Necesitábamos una casa más grande.;We needed a bigger house.
¿Qué te hizo decidir eso?;What made you decide that?
El nacimiento de nuestro tercer hijo.;The birth of our third child.
¿Fue niño o niña?;Was it a boy or a girl?
¿Cuándo nació? (ella);When was she born?
¿Cuántos años tenía cuando os mudasteis aquí?;How old was she when you moved here?
¿Le gusta a tu mujer esta casa?;Does your wife like this house?
¿Cuánto tiempo lleváis viviendo aquí?;How long have you been living here?
¿Has terminado de pagarla?;Have you finished paying for it?
¿Cuántos pagos te quedan?;How many payments do you have left?
¿Dónde has estado?;Where have you been?
He estado muy ocupado últimamente.;I've been very busy lately.
Lleva tres días lloviendo.;It's been raining for three days.
Te preocupas demasiado.;You worry too much.
No seas tan duro con ellos.;Don't be so hard on them.
Nunca he tenido suficiente dinero.;I've never had enough money.
¿Cuánto tiempo durará el juicio?;How long will the trial last?
¿Puedes ayudarme?;Can you help me?
¿Puedes echarme una mano?;Can you give me a hand?
No tienes que agradecérmelo.;You don't have to thank me.
Me gusta ayudar a la gente.;I like helping / to help people.
Él por fin ha decidido casarse.;He's finally decided to get married.
Se casaron hace unos días.;They got married a few days ago.
No he tenido tiempo.;I haven't had time.
La película terminó más tarde de lo que esperábamos.;The movie ended later than we expected.
Han tardado mucho.;It's taken them a long time.
¿Cuánto tarda él en vestirse?;How long does it take him to get dressed?
Cásate conmigo.;Marry me.
Te haré feliz.;I'll make you happy.
Quiero que me sigas.;I want you to follow me.
Nunca te he pedido que hagas semejante cosa.;I've never asked you to do such a thing.
Deberías tener más cuidado.;You should be more careful.
No deberías hacer cosas así.;You shouldn't do things like that.
¿Qué hacemos?;What shall we do?
¿Le hablo yo primero?;Shall I speak to him first?
Haz lo que quieras.;Do whatever you want.
Llevo dos días intentando verle.;I've been trying to see him for 2 days.
¿Por qué no le llamas?;Why don't you call him?
Le daré un toque.;I'll give him a ring.
Confía en mí.;Trust me.
Podrías sufrir un accidente.;You could suffer an accident.
¿Podrías abrir la maleta por favor?;Could you open the suitcase, please?
¿Tienes algo que declarar?;Do you have anything to declare?
Vigílales de cerca.;Watch them closely.
Ella no lo ha leído.;She hasn't read it.
El incendio ha empezado a extenderse.;The fire has started to spread.
Nadie le ha visto todavía.;Nobody has seen him yet.
He perdido mi fe en él.;I've lost my faith in him.
Ella siempre ha tenido miedo de mí.;She's always been afraid of me.
Agradezco tu esfuerzo.;I appreciate your effort.
Me gustaría que vinieras conmigo.;I'd like you to come with me.
Me alegro de saber eso.;I'm glad to know that.
Me alegro de que hayas venido.;I'm glad you came.
Empecemos de nuevo.;Let's start again.
No dejarán que le veas.;They won't let you see him.
¿De quién es esta cinta?;Whose tape is this?
Nunca ganarás la carrera.;You'll never win the race.
No te des por vencido.;Don't give up.
Hemos conseguido el objetivo.;We've achieved the objective.
Hemos logrado la meta.;We've accomplished the goal.
Tienes que hacer un mayor esfuerzo.;You have to make a stronger effort.
¿Qué te gustaría ser?;What would you like to be?
Mucha gente no le cree.;A lot of people don't believe him.
Yo tampoco.;Neither do I.
No estoy de acuerdo con tu versión.;I don't agree with your version.
¿Me estás llamando mentiroso?;Are you calling me a lair?
Siempre digo la verdad.;I always tell the truth.
Todo lo que digo es verdad.;Everything I say is true.
Nunca miento.;I never lie.
Nunca digo mentiras.;I never tell lies.
Siempre hago lo mejor que puedo.;I always do the best I can.
Eso no es suficiente.;That's not enough.
Estás pidiendo demasiado.;You're asking too much.
¿Qué te trae aquí?;What brings you here?
Quisiera hablar contigo un minuto.;I'd like to talk to you for a minute.
No me di cuenta de que estabas en una situación tan delicada.;I didn't realise you were in such a delicate situation.
¿Quieres decir que nadie te dijo nada?;Do you mean no one told you anything?
Me enteré de tu problema anoche.;I learned about / found out about your problem last night.
Pon la radio.;Turn on the radio.
Apágala.;Turn it off.
Sube el volumen.;Turn up the volume.
Bájalo.;Turn it down.
¿Por qué se te cayó?;Why did you drop it?
Recógelo.;Pick it up.
Devuélveselo a tu hermana.;Give it back to your sister.
No le prestes dinero.;Don't lend him any money.
Él nunca devuelve sus préstamos.;He never pays back his loans.
Voy a pedir un crédito.;I'm going to ask for a loan.
Es difícil conseguir préstamos.;It's difficult to get loans.
Tengo que encontrar un modo.;I have to find a way.
A todo el mundo le gusta porque está de moda.;Everybody likes it because it's in fashion.
¿Qué es lo que está de moda?;What's in fashion?
No dispares hasta que le veas los ojos.;Don't shoot until you see his eyes.
No tienes que agradecérmelo.;You don't have to thank me.
Lo hago porque es mi deber.;I do it because it's my duty.
Tengo mis dudas.;I have my doubts.
Le gusta hacer sentir a la gente incómoda.;He likes to make people feel uncomfortable.
No les obligues a hacer eso.;Don't make them do that.
Déjame intentar convencerle.;Let me try to convince him.
Él es muy terco.;He's very stubborn.
¿Cuándo nació el bebé?;When was the baby born?
¿Cuándo va a nacer el bebé?;When's the baby going to be born?
Cuando sea mayor, quiero ser abogado.;When I grow up, I want to be a lawyer.
Vamos a ver si están en casa.;Let's see if they're at home.
Su línea (de ellos) lleva tres horas comunicando.;Their line has been busy for three hours.
Él nunca alcanzó su potencial.;He never reached his potential.
Sigo creyendo que fue un gran hombre.;I still think he was a great man.
Esto es fácil de hacer.;This is easy to do.
Tengo algunas personas a las que llamar.;I have some people to call.
Aprovecho mi tiempo.;I take advantage of my time.
No se ha tomado una decisión.;A decision hasn't been made.
No quiero que digas nada.;I don't want you to say anything.
Hay varios casos.;There are several cases.
Hubo varios accidentes.;There were several accidents.
Habrá bastantes candidatos.;There will be quite a few candidates.
Va a haber una manifestación.;There's going to be a demonstration.
Ha habido un malentendido.;There's been a misunderstanding.
Ha habido muchas tormentas este mes.;There have been a lot of storms this month.
Puede que no estén en casa.;They may not be at home.
Puede que le conozcas.;You may know him.
Espero que lo hagan pronto.;I hope they do it soon.
Cuanto antes, mejor.;The sooner, the better.
No te rías de él.;Don't laugh at him.
Esta meta no puede conseguirse.;This goal can't be achieved.
¿Has estado alguna vez en Roma?;Have you ever been to Rome?
¿Comes alguna vez allí?;Do you ever eat there?
¿Fuiste alguna vez allí?;Did you ever go there?
Lleva varios meses cerrado.;It's been closed for several months.
Bórralo.;Erase it.
Está sonando el teléfono.;The telephone's ringing.
Lleva todo el día sonando.;It's been ringing all day.
¿Qué quieres que yo haga?;What do you want me to do?
No te dije que hicieras nada.;I didn't tell you to do anything.
¡Qué día más maravilloso!;What a wonderful day!
Tienes que pagar por mis servicios.;You have to pay for my services.
¿De qué servicios me estás hablando?;What services are you talking to me about?
El esperar es la peor parte de mi trabajo.;Waiting is the worst part of my job.
Él no puede guardar un secreto.;He can't keep a secret.
Sé convencerle.;I know how to convince him.
Sé cuidarme.;I know how to take care of myself.
Cuida a las chicas.;Take care of the girls.
Ten cuidado con esas chicas.;Be careful with those girls.
Intentarán aprovecharse de ti.;They'll try to take advantage of you.
Es hora de acostarse.;It's time to go to bed.
No deberías hacer cosas así.;You shouldn't do things like that.
Divídelo en dos partes iguales.;Divide it into two equal parts.
La tierra fue creada en seis días.;The earth was created in six days.
Tardé tres días en averiguar donde estabas.;It took me three days to find out where you were.
Yo no sabía que me buscabas.;I didn't know you were looking for me.
Mucha gente ha estado preocupada por ti.;A lot of people have been worried about you.
No les pedí que se preocuparan por mí.;I didn't ask them to worry about me.
Me duelen los pies.;My feet hurt.
Puedo verme en el espejo.;I can see myself in the mirror.
¿No has hecho nada todavía?;Haven't you done anything yet?
No te puedes fiar de él.;You can't trust him.
Pídemelo.;Ask me for it.
¿Cuánto tiempo durará la operación?;How long will the operation last?
No durará mucho.;It won't last long.
Él no sabe de lo que está hablando.;He doesn't know what he's talking about.
¿Cuánto pesas?;How much do you weigh?
He ganado mucho peso últimamente.;I've gained a lot of weight lately.
Casi siempre le veo por la noche.;I almost always see him at night.
Casi nunca consiguen sus objetivos.;They hardly ever achieve their objectives.
Suelo hacerlo días alternos.;I usually do it every other day.
Tiene que tomarse una decisión.;A decision has to be made.
Ya han sido informados.;They've already been informed.
Algo extraño va a suceder.;Something strange is going to happen.
Fue la reunión más corta a la que jamás he;It was the shortest meeting I've ever attended.
Explícamelo.;Explain it to me.
