pregunta;respuesta
Nuestros coches no son pequeños.;Our cars aren't small.
Las respuestas están bien.;The answers are correct.
Estáis locos.;You're crazy.
Aquellos sobres son míos.;Those envelopes are mine.
Este cuadro es tuyo.;This picture is yours.
Estas peras son de ella.;These pears are hers.
¿Dónde están los de él?;Where are his?
Su casa (de ellos) está cerca de aquí.;Their house is near here.
Sus problemas (de ellos) no son míos.;Their problems aren't mine.
¿Cuáles son sus nombres?;What are their names?
¿Son estos sus libros? (de ellas);Are these their books?
¿Dónde están sus padres? (de él);Where are his parents?
¿Quiénes son sus padres? ( de ellos);Who are their parents?
¿Son tuyos éstos?;Are these yours?
¿De quién son?;Whose are they?
No son míos.;They're not mine.
¿Son nuestros?;Are they ours?
No sé.;I don't know.
¿Dónde están los de él?;Where are his?
Están conmigo.;They're with me.
¿Dónde están los nuestros?;Where are ours?
Están allí.;They're over there.
¿De quién son esas fotos?;Whose pictures are those?
¿Son vuestras?;Are they yours?
¿De quién son entonces?;Whose are they then?
Son mías.;They're mine.
¿Dónde están sus carnets? (de ellos);Where are their cards?
Estas son sus monedas(de ellas);These are their coins.
Él está aquí.;He's here.
Son muy cortos.;They're very short.
Mi padre es muy alto.;My father is very tall.
El mío no es alto.;Mine isn't tall.
Mis hijos son jóvenes.;My children are young.
Los míos son jóvenes también.;Mine are young too.
Los de él no son jóvenes.;His aren't young.
Están en casa ahora.;They're at home now.
¿Dónde está su casa? (de ellos);Where's their house?
Está lejos de aquí.;It's far from here.
Es una casa grande.;It's a big house.
La de ella es grande también.;Hers is big too.
La nuestra es muy pequeña.;Ours is very small.
¿Es grande vuestra casa?;Is your house big?
No, no lo es.;No, it's not.
Son para mí.;They're for me.
Es para nosotros.;It's for us.
Estamos con ellos.;We're with them.
No están contigo.;They're not with you.
Ella está al lado de él.;She's next to him.
Esto es para ella.;This is for her.
Estoy con ellos.;I'm with them.
Están conmigo.;They're with me.
Los caballos allí no son blancos.;The horses over there aren't white.
Este es tu problema, no el mío.;This is your problem, not mine.
¿De quién es este sobre?;Whose envelope is this?
¿Dónde están?;Where are they?
¿Dónde está?;Where is it?
¿Qué es esto?;What's this?
¿Qué son estos?;What are these?
¿Qué es?;What is it?
No lo sé.;I don't know.
¿Cuáles son sus nombres?;What are their names?
¿Dónde están sus padres? (de él);Where are his parents?
¿Dónde está su padre? (de ellos);Where's their father?
El mío está al lado del de ella.;Mine is next to hers.
¿Dónde están los nuestros?;Where are ours?
¿Son de él estas revistas?;Are these magazines his?
El barco está en el puerto.;The ship's in the port.
¿Estás seguro?;Are you sure?
No, no estoy seguro.;No, I'm not sure.
Su padre (de ella) es mi hermano.;Her father's my brother.
¿De quién son estos mecheros?;Whose lighters are these?
Son de ella.;They're hers.
Esta es su única oportunidad (de él);This is his only chance.
Estos son de ellos, no de él.;These are theirs, not his.
Aquellos no son los únicos problemas.;Those aren't the only problems.
Él es médico.;He's a doctor.
¿Cuándo es la fiesta?;When's the party?
¿Qué tal están?;How are they doing?
Es una manzana.;It's an apple.
Él es artista.;He's an artist.
La universidad está cerca de aquí.;The university's near here.
Son abogados.;They're lawyers.
Su trabajo es fácil(de ellos);Their job is easy.
Los días son largos en verano.;The days are long in the summer.
Ella es una actriz muy guapa.;She's a very pretty actress.
Él es un actor muy guapo.;He's a very handsome actor.
Es una ciudad muy hermosa.;It's a very beautiful city.
Es un folleto muy interesante.;It's a very interesting brochure.
Son informes muy importantes.;They're very important reports.
Esta es una clase muy aburrida.;This is a very boring class.
No es necesario.;It's not necessary.
Mi mujer está con mis hijos.;My wife's with my children.
¿Por qué eres profesor?;Why are you a teacher?
¿Por qué es difícil?;Why is it difficult?
El mundo es grande.;The world is big.
Europa es un continente.;Europe is a continent.
Estos son para ellos, no para ella.;These are for them, not for her.
Son las dos de la tarde.;It's two p.m.
¿Qué clase de reloj es ése? (reloj de pulsera);What kind of watch is that?
Están debajo del escritorio.;They're under the desk.
¿Por qué están allí?;Why are they there?
¿Por qué es tuyo?;Why is it yours?
Él es carpintero.;He's a carpenter.
Están aquí porque son mis padres.;They're here because they're my parents
¿De dónde son?;Where are they from?
¿Eres de allí también?;Are you from there too?
¿Qué hora es?;What time is it?
Es una naranja, no una pera.;It's an orange, not a pear.
¿Es ésta la respuesta?;Is this the answer?
Ella es muy inteligente.;She's very intelligent.
¿Es tu hermana?;Is she your sister?
Esta es la última página.;This is the last page.
¿Qué tal estás?;How are you doing?
Bien, gracias.;Fine, thank you.
¿De qué color son esas paredes?;What colour are those walls?
Aquél es mio.;That one's mine.
Estos son tuyos.;These are yours.
Este es bonito.;This one's pretty.
Ese es feo.;That one's ugly.
Este es para ellos.;This one's for them.
El que está en la mesa es mío.;The one on the table is mine.
El verde es de ella.;The green one's hers.
Los azules son de ellos.;The blue ones are theirs.
¿Cuál es el tuyo, éste o aquél?;Which one's yours, this one or that one?
La que está allí es de él.;The one over there is his.
¿Cuáles son los de ellos?;Which ones are theirs?
¿Cuál es amarillo?;Which one is yellow?
¿Cuándo es?;When is it?
¿Cuándo son las reuniones?;When are the meetings?
Estoy cansado.;I'm tired.
No están en esa habitación.;They're not in that room.
¿Quiénes son Uds.?;Who are you?
¿Cómo está Ud?;How do you do?
¿Qué es eso?;What's that?
¿Quién es su jefe? (de ellos);Who's their boss?
Estos son sombreros.;These are hats.
La caja no está cerrada.;The box isn't closed.
Estas palabras no son inglesas.;These words aren't English.
¿Está Londres en Alemania?;Is London in Germany?
Los alemanes son muy altos.;The Germans are very tall.
Los gatos están debajo del sillón.;The cats are under the armchair.
¿Por qué están vacíos los vasos?;Why are the glasses empty?
Estás equivocado, están llenos.;You're wrong, they're full.
¿Qué tiempo hace hoy?;How's the weather today?
Hace frio.;It's cold.
Hace calor.;It's hot.
Está lloviendo.;It's raining.
Está nevando.;It's snowing.
Está nublado.;It's cloudy.
Está oscuro.;It's dark.
Hace buen tiempo.;The weather's nice.
Hace mal tiempo.;The weather's bad.
El que está aquí es mío.;The one here is mine.
Los de ellos son bonitos también.;Theirs are pretty too.
¿Dónde está el tuyo?;Where's yours?
¿Quién está en aquella habitación?;Who's in that room?
¿Es éste el de ella?;Is this (one) hers?
El de ellos es como el de él.;Theirs is like his.
Él no es la única persona alta.;He's not the only tall person.
No sé.;I don't know.
¿Para quién es esto?;Who's this for?
Es para aquella gente.;It's for those people.
¿Es duro o blando?;Is it hard or soft?
El de él es redondo.;His is round.
Su problema (de ellos) es gracioso.;Their problem is funny.
Sus preguntas (de él) son las mismas.;His questions are the same.
Es de día.;It's daytime.
Están con ella porque son sus amigos.;They're with her because they're her friends.
El libro de Pepe está aquí.;Pepe's book is here.
Este no es el único.;This isn't the only one.
Los míos están al lado de los de él.;Mine are next to his.
¿De quién es esta carta? (procedencia);Who is this letter from?
¿De quién es esta carta? (pertenencia);Whose letter is this?
¿Por qué estás con ellos?;Why are you with them?
Esto no es para ellos, es para ella.;This isn't for them, it's for her.
La casa de Enrique es muy grande.;Enrique's house is very big.
Paris es famoso por su arte.;Paris is famous for its art.
Sus respuestas son correctas (de él);His answers are right / correct.
Aquellas playas están lejos de aquí.;Those beaches are far from here.
La primera parte es muy fácil.;The first part is very easy.
¿Por qué es tan fácil?;Why is it so easy?
¿Están ellos listos?;Are they ready?
El azul es de ellos.;The blue one is theirs.
Los míos son los que están allí.;Mine are the ones over there.
¿Es él uno de tus amigos?;Is he one of your friends?
¿Es amigo tuyo?;Is he a friend of yours?
Es amigo mío.;He's a friend of mine.
Son amigos nuestros.;They're friends of ours.
Ella es una de nuestros amigos.;She's one of our friends.
Soy amigo de ellos.;I'm a friend of theirs.
Ese señor es mi primo.;That man is my cousin.
Soy su agente (de ella);I'm her agent.
Su problema (de ellos) es sencillo.;Their problem is simple.
La mujer de Juan es muy inteligente.;John's wife is very intelligent.
Los elefantes son grandes.;Elephants are big.
Los elefantes de Marte son pequeños.;The elephants on Mars are small.
Las mujeres son fuertes.;Women are strong.
Las mujeres de esta casa son altas.;The women in this house are tall.
El hijo de ese señor es famoso.;That man's son is famous.
Hace calor aquí.;It's hot here.
Siempre hace frió en ese cuarto.;It's always cold in this room.
¿Qué tiempo hace hoy?;How's the weather today?
Los de ellos son fáciles.;Theirs are easy.
¿De quién son estos papeles?;Whose papers are these?
La explicación del dueño está clara.;The owner's explanation is clear.
¿Es tu problema o mío?;Is it your problem or mine?
El artículo no es interesante.;The article isn't interesting.
El plan del general es brillante.;The general's plan is brilliant.
Este lugar es muy agradable.;This place is very pleasant.
Los pájaros son muy inteligentes.;Birds are very intelligent.
Los pájaros aquí son peligrosos.;The birds here are dangerous.
Su coche (de ellos) no es el azul, sino el verde.;Their car isn't the blue one, but the green one.
El agua está muy caliente.;The water's very hot.
Es un día muy caluroso.;It's a very hot day.
Tengo calor.;I'm hot.
Tienen frío.;They're cold.
Tengo hambre.;I'm hungry.
Ella tiene sed.;She's thirsty.
¿Cuál es su respuesta? (de ellos);What's their answer?
No saben.;They don't know.
¿Por qué está la gente enfadada?;Why are the people angry?
Estoy aquí porque soy el profesor.;I'm here because I'm the teacher.
¿Está bien?;Is it all right / okay?
Su dinero (de ella) está en buenas manos.;Her money's in good hands.
No son para ellos.;They're not for them.
¿Cuáles son las verdaderas cifras?;What are the real figures?
¿Quién es aquél hombre de allí?;Who's that man over there?
¿Qué es?;What is it?
¿Está al lado de la cocina?;Is it next to the kitchen?
¿Cuándo es?;When is it?
¿Qué es aquello?;What's that?
¿Cuáles son tus intenciones?;What are your intentions?
Son las tres.;It's three o'clock.
¿Es Ud el señor que está enfermo?;Are you the man who's sick / ill?
¿Es rico él?;Is he rich?
El coche del rico es el rojo.;The rich man's car is the red one.
Los problemas de mi tío son graves.;My uncle's problems are serious.
La luna es redonda porque no es cuadrada.;The moon's round because it's not square.
¿Por qué es tan larga esta lista?;Why is this list so long?
La nariz del payaso es redonda.;The clown's nose is round.
Están cerrados.;They're closed.
El verde es de Pepe.;The green one is Pepe's.
El mío y el de él son iguales.;Mine and his are the same.
Los camiones amarillos son de mi tío.;The yellow trucks are my uncle's.
La sopa de Elena está fría.;Helen's soup is cold.
Sus brazos y piernas están rotos (de él);His arms and legs are broken.
Hoy es el cumpleaños de Maria.;Today's Mary's birthday.
Ella tiene años.;She's years old.
¿Dónde están los juguetes de tu hijo?;Where are your son's toys?
¿Por qué son verdes los ojos de Juan?;Why are John's eyes green?
No están listos todavía.;They're not ready yet.
Estoy bien, gracias.;I'm fine, thank you.
Aquél es el mío.;That one's mine.
¿Es tuyo?;Is it yours?
¿Dónde están los nuestros?;Where are ours?
¿Es nuevo?;Is it new?
El de él está bien.;His is okay / fine.
El de ellos es para ella.;Theirs is for her.
Soy yo.;It's me.
Está oscuro.;It's dark.
¿Quién es?;Who is it?
Aquellos bolígrafos son nuestros.;Those pens are ours.
Este es el de Pepe.;This one is Pepe's.
Somos nosotros.;It's us.
Hace calor.;It's hot.
Los de ellos son los blancos.;Theirs are the white ones.
¿Cuáles son los vuestros?;Which ones are yours?
Este no es.;This isn't it.
¿Dónde están?;Where are they?
¿Son las dos?;Is it two o'clock?
¿Por qué está ella contigo?;Why is she with you?
¿Dónde están sus padres? (de ella);Where are her parents?
¿Por qué estamos aquí?;Why are we here?
El nuestro es el mejor.;Ours is the best.
¿De quién es?;Whose is it?
¿De quién es este bolígrafo?;Whose pen is this?
¿De quién son estas cartas?;Whose letters are these?
Esos problemas son fáciles.;Those problems are easy.
Los caballos blancos son hermosos.;White horses are beautiful.
Es un círculo.;It's a circle.
Son profesores.;They're teachers.
Ella es ama de casa.;She's a housewife.
El hermano de su marido está aquí.;Her husband's brother is here.
¿Están cansados?;Are they tired?
Estoy perdido.;I'm lost.
Nada es fácil.;Nothing is easy.
Las guitarras españolas son buenas.;Spanish guitars are good.
La gente alta es normalmente delgada.;Tall people are normally slim.
¿Por qué está sucio?;Why is it dirty?
Sus casas (de ellos) están cerca de la de ella.;Their houses are near hers.
Están lejos de aquí.;They're far from here.
Es muy gracioso.;It's very funny.
¿Estás seguro de que son nuestros?;Are you sure they're ours?
Están aquí porque ésta es su casa.;They're here because this is their house.
¿Estás seguro de que es de ella?;Are you sure it's hers?
Por supuesto que si.;Of course I am.
¿Estoy en la lista?;Am I on the list?
Los perros son nuestros mejores amigos.;Dogs are our best friends.
La luz está encendida.;The light's on.
Este es el final.;This is the end.
¿Cuáles son los de ellos?;Which ones are theirs?
¿Es éste su despacho? (de ellos);Is this their office?
Es muy largo, ¿no?;It's very long, isn't it?
¿No es interesante?;Isn't it interesting?
¿No es él profesor?;Isn't he a teacher?
Son botones, ¿no?;They're buttons, aren't they?
Este es el informe, ¿no?;This is the report, isn't it?
¿Por qué es de ellos?;Why is it theirs?
El tuyo es aquél, ¿no?;Yours is that one, isn't it?
¿No está ella con ellos?;Isn't she with them?
¿Dónde está ella entonces?;Where is she then?
Somos los mejores, ¿no?;We're the best, aren't we?
¿No es ese señor el señor Pérez?;Isn't that man MrPerez?
Si éste es de ellos, entonces ése es nuestro.;If this one is theirs, then that one's ours.
¿Cuál es el propósito de todo esto?;What's the purpose of all this?
No entiendo.;I don't understand.
¿No es un gato?;Isn't it a cat?
Esa gente está enfadada.;Those people are angry.
¿Cuáles son sus razones?;What are their reasons?
La salud del viejo era mala.;The old man's health was bad.
Ella es la madre de su amigo (de él);She's his friend's mother.
¿Cómo se llama ella?;What's her name?
Se llama María, ¿no?;Her name's Mary, isn't it?
Son montañas muy altas.;They're very tall mountains.
Es una temperatura muy alta.;It's a very high temperature.
La mujer del soldado está enferma.;The soldier's wife is sick / ill.
Las mujeres de los soldados están aquí.;The soldiers' wives are here.
¿No están rotas las ventanas?;Aren't the windows broken?
¿No es Ud la única persona aquí?;Aren't you the only person here?
¿No son bonitos sus coches? (de ella);Aren't her cars pretty?
Los elefantes son grises, ¿no?;Elephants are grey, aren't they?
Esa no es la respuesta que está en el libro.;That's not the answer that's in the book.
¡Qué libro más interesante!;What an interesting book!
¡Qué manzanas más buenas!;What good apples!
¿Qué es?;What is it?
La respuesta del director es la siguiente:;The director's answer is the following:
El dinero de la gente es el dinero del país.;The people's money is the country's money.
¿No está esto contra las reglas?;Isn't this against the rules?
¿Dónde está la ropa de tus padres?;Where are your parents' clothes?
Aquellos son míos, ¿no?;Those are mine, aren't they?
¿Es hora ya?;Is it time now?
¿Por qué son de ella?;Why are they hers?
Esta porción es suya, ¿no? (de él);This portion is his, isn't it?
Esto es aburrido.;This is boring.
¿Por qué no está el aquí?;Why isn't he here?
¿Quién no tiene hambre?;Who isn't hungry?
¿Por qué no están listas las cartas?;Why aren't the letters ready?
Así es la vida.;That's life.
La vida es corta, ¿no?;Life's short, isn't it?
La lluvia es necesaria.;Rain is necessary.
Su cara es muy expresiva(de ella);Her face is very expressive.
La catedral es muy impresionante.;The cathedral is very impressive.
Los regalos están debajo del árbol.;The presents / gifts are under the tree.
Estos aspectos no son importantes.;These aspects aren't important.
Él no está aquí, ¿verdad?;He's not here, is he?
No están calientes, ¿verdad?;They're not hot, are they?
Es una chica maravillosa.;She's a wonderful girl.
No es para ellos, ¿verdad?;It's not for them, is it?
Su plan (de ellos) es bastante útil.;Their plan is quite useful.
¿Quién es?;Who is it?
No es para mí, ¿verdad?;It's not for me, is it?
Esto sólo es el comienzo.;This is only the beginning.
¿Qué carretera es ésa?;What highway is that?
Es un río ancho.;It's a wide river.
Es un río bastante ancho.;It's a pretty wide river.
Es bastante ancho.;It's pretty / quite wide.
Él es realmente poderoso.;He's really powerful.
¿Eres feliz de verdad?;Are you really happy?
Me alegro.;I'm glad.
¿Por qué te alegras?;Why are you glad?
Me alegro cuando la gente es feliz.;I'm glad when the people are happy.
Las moscas son necesarias.;Flies are necessary.
Estoy aquí porque soy tu jefe.;I'm here because I'm your boss.
¿Por qué está todo el mundo enfadado?;Why's everybody angry?
¿Dónde está el dinero del abogado?;Where's the lawyer's money?
Está en un sitio seguro.;It's in a safe place.
Los obreros están en huelga.;The workers are on strike.
¿Por qué están en huelga?;Why are they on strike?
No soy socio de ese club.;I'm not a member of that club.
Es un club muy exclusivo.;It's a very exclusive club.
Tengo razón.;I'm right.
Estoy equivocado.;I'm wrong.
Casi tienen razón.;They're almost / nearly right.
Las calles están mojadas.;The streets are wet.
Las ciudades grandes están sucias.;Big cities are dirty.
¿Son de un país europeo?;Are they from a European country?
¿Cuáles son sus ocupaciones?;What are their occupations / jobs?
La última línea es muy graciosa.;The last line's very funny.
¿Por qué es difícil siempre?;Why is it always difficult?
Mis razones son un poco extrañas.;My reasons are a little strange.
Tus responsabilidades son las siguientes;Your responsibilities are the following
La carta está en el correo.;The letter's in the mail /post.
Estos resultados son un poco mejores.;These results are a little better.
Las corbatas no son necesarias.;Ties aren't necessary.
Las hermanas de David están locas.;David's sisters are crazy.
El juego es muy divertido.;The game's a lot of fun.
Estoy completamente en contra de tu plan.;I'm completely against your plan.
El de ellos es el que está allí.;Theirs is the one over there.
La temperatura es de grados bajo cero.;The temperature's degrees below zero.
Mi nivel está por encima del de ellos.;My level is above theirs.
Este es el final.;This is the end.
Las cosas nunca están claras.;Things are never clear.
La habitación de mi hermana está allí.;My sister's room is over there.
Esta es la habitación de mis hermanos.;This is my brothers' room.
El café y el té son bebidas calientes.;Coffee and tea are hot drinks.
El mío está aquí y el tuyo allí.;Mine is here and yours is over there.
Las páginas están rotas.;The pages are torn.
Su camisa (de él) está rota.;His shirt is torn.
La lavadora está rota.;The washing machine is broken.
El asa está rota.;The handle is broken.
Su ropa (de ella) es bastante elegante.;Her clothes are quite elegant.
Este dolor de cabeza es terrible.;This headache is terrible.
La luz está apagada.;The light's off.
¿Cuál es el siguiente?;What's the next one?
¿Cuál es el mío, éste o aquél?;Which one's mine, this one or that one?
¿Cuales son los de ella?;Which ones are hers?
Es un traje (de hombre) muy elegante.;It's a very elegant suit.
El partido está en la tele ahora.;The game's on TV now.
La tierra es redonda como una naranja.;The earth's round like an orange.
El oro y la plata son metales.;Gold and silver are metals.
Los pupitres de los estudiantes son viejos.;The students' desks are old.
La gente joven está loca.;Young people are crazy.
Las olas son muy altas.;The waves are very high.
Es bastante fácil, ¿no?;It's quite easy, isn't it?
No es demasiado importante.;It's not too important.
¿Qué tal?;How are you doing?
Bien, gracias.;Fine, thank you.
Aquella gente es alemana.;Those people are German.
Es difícil la primera vez.;It's difficult the first time.
Los nombres no están en orden.;The names aren't in order.
